x,y_final
51.488281,78.4449860398236
53.150391,12.9776827531438
54.8125,6.2778153771557
56.474609,12.597572034004
58.134766,8.98628311046496
59.796875,6.41227841815733
61.457031,34.7635912735473
63.119141,49.6109689843994
64.779297,29.6597431431369
66.439453,-5.91332785853947
68.099609,-5.04316678059615
69.757812,-6.97458169942782
71.417969,7.8890028407924
73.076172,-1.1413357233973
74.736328,-3.67215421837169
76.394531,-23.8578599092018
78.052734,-1.57270431399351
79.710938,-1.3001874257749
81.369141,-9.43047248201032
83.025391,-5.91372644147613
84.683594,-1.24403556699625
86.339844,5.80813529577677
87.996094,3.5091337851984
89.654297,-0.740797349353063
91.308594,-15.7628717659899
92.964844,7.34984658486168
94.621094,92.7022983135949
96.275391,169.062075811382
97.931641,218.89925489058
99.585938,238.931882027791
101.240234,290.627320671488
102.894531,326.27120758192
104.546875,351.265988961741
106.201172,360.289346177647
107.855469,361.147185571109
109.507812,312.088071231301
111.160156,297.697173106811
112.8125,269.500517895678
114.464844,271.661179145707
116.115234,251.642844424772
117.767578,289.240079400049
119.417969,305.357650212358
121.068359,337.840034249083
122.720703,309.480311867251
124.369141,289.953167524654
126.019531,272.504307750641
127.669922,288.874179147561
129.318359,289.233828871677
130.966797,283.355395555489
132.617188,269.557240020935
134.265625,275.135982439889
135.912109,266.670084032694
137.560547,242.517544451432
139.207031,223.960843919598
140.855469,237.714449018853
142.501953,260.46471540183
144.148438,254.541963665161
145.794922,230.966973595516
147.439453,202.964656558791
149.085938,235.787637856557
150.730469,272.797490524346
152.375,306.004757433182
154.021484,268.945819921416
155.664062,236.273405523665
157.308594,227.027444110569
158.953125,242.333239443946
160.595703,251.18475737596
162.238281,238.651242574634
163.880859,219.945496697293
165.523438,189.719573228163
167.166016,185.637480820209
168.806641,189.965264642947
170.449219,178.236198137557
172.089844,184.896050003889
173.730469,173.184454749946
175.371094,171.277511700468
177.009766,167.345292717787
178.650391,178.612333321828
180.289062,178.74793947334
181.929688,183.602868282947
183.568359,207.561926410745
185.205078,216.108131708877
186.84375,232.52124197823
188.482422,221.553612371366
190.119141,177.778001228997
191.755859,151.073586912889
193.392578,166.704964194331
195.029297,189.071233477105
196.666016,190.244486322021
198.300781,180.419038122675
199.935547,179.299683159072
201.572266,172.509963055676
203.207031,199.21097952762
204.839844,197.604923486796
206.474609,183.896861818888
208.107422,172.834952588196
209.742188,188.800264421616
211.375,207.720842827536
213.007812,197.167863319375
214.640625,205.927668901671
216.271484,220.005300930319
217.904297,251.826572172001
219.535156,300.373661190524
221.166016,346.098266594219
222.796875,365.038606233149
224.425781,376.521937404799
226.056641,427.599303340109
227.685547,458.229254026166
229.316406,488.594116995832
230.945312,499.77013760728
232.572266,482.617476381473
234.201172,442.891394540061
235.830078,468.993497428272
237.457031,513.724973548374
239.083984,531.444314509939
240.710938,526.797126295649
242.337891,538.811995265285
243.962891,502.021493741089
245.589844,519.966347200299
247.214844,523.500862471229
248.839844,581.344988422296
250.464844,559.388561979983
252.089844,572.697415355312
253.712891,521.550584109709
255.337891,553.998327229365
256.960938,581.456643421533
258.583984,591.101671845757
260.207031,549.405199917211
261.828125,562.972867249191
263.451172,619.46181720678
265.072266,650.517753351853
266.693359,654.24926233076
268.314453,642.223092152582
269.935547,606.610183092221
271.556641,589.714111097912
273.175781,599.104284669488
274.794922,641.815816137639
276.414062,644.285472064313
278.033203,666.14519788601
279.652344,653.248176706375
281.269531,663.057129259187
282.888672,695.948364461338
284.505859,727.306823097692
286.123047,743.069968036696
287.740234,748.031475307731
289.355469,767.765700139543
290.972656,821.099503202496
292.587891,841.946011977941
294.203125,898.576794883934
295.818359,928.661293955546
